Territory X Date,target
Afghanistan X 5/27/20,0.40370522436205647
Afghanistan X 5/28/20,0.36489117022938444
Afghanistan X 5/29/20,0.3260900376517384
Afghanistan X 5/30/20,0.2872906279480958
Afghanistan X 5/31/20,0.24848423103321693
Afghanistan X 6/1/20,0.20966941117876559
Afghanistan X 6/2/20,0.1708411911931762
Afghanistan X 6/3/20,0.1319938281631039
Afghanistan X 6/4/20,0.09314340224591433
Afghanistan X 6/5/20,0.05430254785096622
Afghanistan X 6/6/20,0.015473562143597519
Afghanistan X 6/7/20,0.0
Albania X 3/6/20,0.0
Albania X 3/7/20,0.0
Albania X 3/8/20,0.0
Albania X 3/9/20,0.0
Albania X 3/10/20,0.0
Albania X 3/11/20,1.0
Albania X 3/12/20,1.0
Albania X 3/13/20,1.0
Albania X 3/14/20,1.0
Albania X 3/15/20,1.0
Albania X 3/16/20,1.0
Albania X 3/17/20,1.0
Albania X 3/18/20,2.0
Albania X 3/19/20,2.0
Albania X 3/20/20,2.0
Albania X 3/21/20,2.0
Albania X 3/22/20,2.0
Albania X 3/23/20,4.0
Albania X 3/24/20,5.0
Albania X 3/25/20,5.0
Albania X 3/26/20,6.0
Albania X 3/27/20,8.0
Albania X 3/28/20,10.0
Albania X 3/29/20,10.0
Albania X 3/30/20,11.0
Albania X 3/31/20,15.0
Albania X 4/1/20,15.0
Albania X 4/2/20,5.186737456242554
Albania X 4/3/20,5.807048669666983
Albania X 4/4/20,6.276695317210397
Albania X 4/5/20,6.63242553564487
Albania X 4/6/20,6.903513251454569
Albania X 4/7/20,7.112595114740543
Albania X 4/8/20,7.256207000173163
Albania X 4/9/20,7.369601207028609
Albania X 4/10/20,7.461559798393864
Albania X 4/11/20,7.538449750863947
Albania X 4/12/20,7.604871520888992
Albania X 4/13/20,7.622938726271968
Albania X 4/14/20,7.61946311511565
Albania X 4/15/20,7.617465346993413
Albania X 4/16/20,7.596089457802009
Albania X 4/17/20,7.536435902584344
Albania X 4/18/20,7.441595134441741
Albania X 4/19/20,7.354844982619397
Albania X 4/20/20,7.2531211414025165
Albania X 4/21/20,7.0747531444067135
Albania X 4/22/20,6.907901602971833
Albania X 4/23/20,6.950860891956836
Albania X 4/24/20,6.967071987746749
Albania X 4/25/20,6.964551997371018
Albania X 4/26/20,6.948989467928186
Albania X 4/27/20,6.924353135400452
Albania X 4/28/20,6.893359014939051
Albania X 4/29/20,6.858259860018734
Albania X 4/30/20,6.8201812816550955
Albania X 5/1/20,6.779860669921618
Albania X 5/2/20,6.7377582236076705
Albania X 5/3/20,6.694161088380497
Albania X 5/4/20,6.650087674206588
Albania X 5/5/20,6.605884853051975
Albania X 5/6/20,6.561417857883498
Albania X 5/7/20,6.517003697517794
Albania X 5/8/20,6.473330755834468
Albania X 5/9/20,6.4309725584462285
Albania X 5/10/20,6.389594484935515
Albania X 5/11/20,6.349397920130286
Albania X 5/12/20,6.311858409899287
Albania X 5/13/20,6.276515755453147
Albania X 5/14/20,6.23892877047183
Albania X 5/15/20,6.199968846340198
Albania X 5/16/20,6.160202617174946
Albania X 5/17/20,6.119986909325235
Albania X 5/18/20,6.079548759298632
Albania X 5/19/20,6.039027528458973
Albania X 5/20/20,5.998495960375294
Albania X 5/21/20,5.958001146937022
Albania X 5/22/20,5.917574865597999
Albania X 5/23/20,5.877234727959149
Albania X 5/24/20,5.836994899873389
Albania X 5/25/20,5.7968534670362715
Albania X 5/26/20,5.756799709342886
Albania X 5/27/20,5.716830946767004
Albania X 5/28/20,5.676941436395282
Albania X 5/29/20,5.637113183765905
Albania X 5/30/20,5.59731670859037
Albania X 5/31/20,5.55753593071131
Albania X 6/1/20,5.517745964170899
Albania X 6/2/20,5.477902779966826
Albania X 6/3/20,5.437963880540337
Albania X 6/4/20,5.397991672216449
Albania X 6/5/20,5.358015635283664
Albania X 6/6/20,5.31804955273401
Albania X 6/7/20,5.2781041446723975
Algeria X 3/6/20,0.0
Algeria X 3/7/20,0.0
Algeria X 3/8/20,0.0
Algeria X 3/9/20,0.0
Algeria X 3/10/20,0.0
Algeria X 3/11/20,0.0
Algeria X 3/12/20,1.0
Algeria X 3/13/20,2.0
Algeria X 3/14/20,3.0
Algeria X 3/15/20,4.0
Algeria X 3/16/20,4.0
Algeria X 3/17/20,4.0
Algeria X 3/18/20,7.000000000000001
Algeria X 3/19/20,9.0
Algeria X 3/20/20,11.0
Algeria X 3/21/20,15.0
Algeria X 3/22/20,17.0
Algeria X 3/23/20,17.0
Algeria X 3/24/20,19.0
Algeria X 3/25/20,21.0
Algeria X 3/26/20,25.0
Algeria X 3/27/20,26.0
Algeria X 3/28/20,29.000000000000004
Algeria X 3/29/20,31.0
Algeria X 3/30/20,35.0
Algeria X 3/31/20,44.0
Algeria X 4/1/20,58.00000000000001
Algeria X 4/2/20,19.956271641422063
Algeria X 4/3/20,21.990206334739923
Algeria X 4/4/20,23.543874202296138
Algeria X 4/5/20,24.73094204789959
Algeria X 4/6/20,25.66277951002121
Algeria X 4/7/20,26.407734914682806
Algeria X 4/8/20,26.955860004527494
Algeria X 4/9/20,27.37221050192602
Algeria X 4/10/20,27.687341768760234
Algeria X 4/11/20,27.882193458499387
Algeria X 4/12/20,28.017671081470326
Algeria X 4/13/20,28.14505349379033
Algeria X 4/14/20,28.226327203447
Algeria X 4/15/20,28.267532223835588
Algeria X 4/16/20,28.231662752805278
Algeria X 4/17/20,28.18720800918527
Algeria X 4/18/20,28.09176844661124
Algeria X 4/19/20,27.968778214417398
Algeria X 4/20/20,27.776983286021277
Algeria X 4/21/20,27.417063420871273
Algeria X 4/22/20,26.798136632423848
Algeria X 4/23/20,27.009892396163195
Algeria X 4/24/20,27.138420328265056
Algeria X 4/25/20,27.208750342251733
Algeria X 4/26/20,27.238723755581304
Algeria X 4/27/20,27.240423657931387
Algeria X 4/28/20,27.222129033179954
Algeria X 4/29/20,27.190694622695446
Algeria X 4/30/20,27.150414594216272
Algeria X 5/1/20,27.10421706782654
Algeria X 5/2/20,27.05493521410972
Algeria X 5/3/20,27.003784999251366
Algeria X 5/4/20,26.9507878634613
Algeria X 5/5/20,26.896758534712717
Algeria X 5/6/20,26.84230652754195
Algeria X 5/7/20,26.788797889603302
Algeria X 5/8/20,26.736079476540908
Algeria X 5/9/20,26.684941513231024
Algeria X 5/10/20,26.635678036836907
Algeria X 5/11/20,26.58944069291465
Algeria X 5/12/20,26.54939344385639
Algeria X 5/13/20,26.52032358222641
Algeria X 5/14/20,26.484248897759244
Algeria X 5/15/20,26.44390148576349
Algeria X 5/16/20,26.40103944344446
Algeria X 5/17/20,26.356774598825723
Algeria X 5/18/20,26.311826730379835
Algeria X 5/19/20,26.266630768077448
Algeria X 5/20/20,26.221422554226592
Algeria X 5/21/20,26.176352170296013
Algeria X 5/22/20,26.131483936915174
Algeria X 5/23/20,26.08683316851966
Algeria X 5/24/20,26.04239373933524
Algeria X 5/25/20,25.998168712249026
Algeria X 5/26/20,25.954167275922373
Algeria X 5/27/20,25.910352675709873
Algeria X 5/28/20,25.866703471401706
Algeria X 5/29/20,25.823204348562285
Algeria X 5/30/20,25.779803238110617
Algeria X 5/31/20,25.73646644828841
Algeria X 6/1/20,25.693141910014674
Algeria X 6/2/20,25.649707107804716
Algeria X 6/3/20,25.605961422552355
Algeria X 6/4/20,25.5620748444926
Algeria X 6/5/20,25.518156106118113
Algeria X 6/6/20,25.47424349351786
Algeria X 6/7/20,25.430376824224368
Andorra X 3/6/20,0.0
Andorra X 3/7/20,0.0
Andorra X 3/8/20,0.0
Andorra X 3/9/20,0.0
Andorra X 3/10/20,0.0
Andorra X 3/11/20,0.0
Andorra X 3/12/20,0.0
Andorra X 3/13/20,0.0
Andorra X 3/14/20,0.0
Andorra X 3/15/20,0.0
Andorra X 3/16/20,0.0
Andorra X 3/17/20,0.0
Andorra X 3/18/20,0.0
Andorra X 3/19/20,0.0
Andorra X 3/20/20,0.0
Andorra X 3/21/20,0.0
Andorra X 3/22/20,1.0
Andorra X 3/23/20,1.0
Andorra X 3/24/20,1.0
Andorra X 3/25/20,1.0
Andorra X 3/26/20,3.0
Andorra X 3/27/20,3.0
Andorra X 3/28/20,3.0
Andorra X 3/29/20,6.0
Andorra X 3/30/20,8.0
Andorra X 3/31/20,12.0
Andorra X 4/1/20,14.000000000000002
Andorra X 4/2/20,2.225813468248816
Andorra X 4/3/20,2.7780853243893944
Andorra X 4/4/20,3.192252940425533
Andorra X 4/5/20,3.501115817343816
Andorra X 4/6/20,3.7311849660181906
Andorra X 4/7/20,3.9031783292011824
Andorra X 4/8/20,4.032875901320949
Andorra X 4/9/20,4.1320812836056575
Andorra X 4/10/20,4.209507241321262
Andorra X 4/11/20,4.2715107966796495
Andorra X 4/12/20,4.30210138176335
Andorra X 4/13/20,4.3271098550758325
Andorra X 4/14/20,4.348317668336676
Andorra X 4/15/20,4.366975628072396
Andorra X 4/16/20,4.342781882733107
Andorra X 4/17/20,4.321390679106116
Andorra X 4/18/20,4.302059267065488
Andorra X 4/19/20,4.2224521508615
Andorra X 4/20/20,4.108520024456084
Andorra X 4/21/20,3.9208810510172043
Andorra X 4/22/20,3.705731991212815
Andorra X 4/23/20,3.7461793299007695
Andorra X 4/24/20,3.761303100764053
Andorra X 4/25/20,3.7586805036698934
Andorra X 4/26/20,3.7437332316767424
Andorra X 4/27/20,3.7202730478020385
Andorra X 4/28/20,3.6909233148617204
Andorra X 4/29/20,3.657466250297148
Andorra X 4/30/20,3.6210921686142683
Andorra X 5/1/20,3.5825805745844264
Andorra X 5/2/20,3.542433398833964
Andorra X 5/3/20,3.501389180019032
Andorra X 5/4/20,3.459558564936742
Andorra X 5/5/20,3.416998599859653
Andorra X 5/6/20,3.3737341707455926
Andorra X 5/7/20,3.3306182916567195
Andorra X 5/8/20,3.287482886662474
Andorra X 5/9/20,3.244214628939517
Andorra X 5/10/20,3.2019990472326754
Andorra X 5/11/20,3.1613907155406196
Andorra X 5/12/20,3.1237298384075984
Andorra X 5/13/20,3.089316770201549
Andorra X 5/14/20,3.052655159990536
Andorra X 5/15/20,3.0145978304062737
Andorra X 5/16/20,2.9757022269041045
Andorra X 5/17/20,2.936327281568083
Andorra X 5/18/20,2.896693905131542
Andorra X 5/19/20,2.8569401189452037
Andorra X 5/20/20,2.817150726696127
Andorra X 5/21/20,2.777371863121516
Andorra X 5/22/20,2.7376353056752123
Andorra X 5/23/20,2.697961920275702
Andorra X 5/24/20,2.658353621227434
Andorra X 5/25/20,2.6188171085959766
Andorra X 5/26/20,2.579359273877344
Andorra X 5/27/20,2.5399797342106467
Andorra X 5/28/20,2.5006761924305465
Andorra X 5/29/20,2.461439268445247
Andorra X 5/30/20,2.4222714508505305
Andorra X 5/31/20,2.3831472793972353
Andorra X 6/1/20,2.3440347852010746
Andorra X 6/2/20,2.304877496280824
Andorra X 6/3/20,2.2656189406552585
Andorra X 6/4/20,2.226315781736048
Andorra X 6/5/20,2.1869999884074787
Andorra X 6/6/20,2.147692426588037
Andorra X 6/7/20,2.1083996049128473
Angola X 3/6/20,0.0
Angola X 3/7/20,0.0
Angola X 3/8/20,0.0
Angola X 3/9/20,0.0
Angola X 3/10/20,0.0
Angola X 3/11/20,0.0
Angola X 3/12/20,0.0
Angola X 3/13/20,0.0
Angola X 3/14/20,0.0
Angola X 3/15/20,0.0
Angola X 3/16/20,0.0
Angola X 3/17/20,0.0
Angola X 3/18/20,0.0
Angola X 3/19/20,0.0
Angola X 3/20/20,0.0
Angola X 3/21/20,0.0
Angola X 3/22/20,0.0
Angola X 3/23/20,0.0
Angola X 3/24/20,0.0
Angola X 3/25/20,0.0
Angola X 3/26/20,0.0
Angola X 3/27/20,0.0
Angola X 3/28/20,0.0
Angola X 3/29/20,2.0
Angola X 3/30/20,2.0
Angola X 3/31/20,2.0
Angola X 4/1/20,2.0
Angola X 4/2/20,0.009984485568566015
Angola X 4/3/20,0.10010955613324768
Angola X 4/4/20,0.15972099665304995
Angola X 4/5/20,0.19608742111813626
Angola X 4/6/20,0.21502448644241667
Angola X 4/7/20,0.22104573965407326
Angola X 4/8/20,0.21757357424576185
Angola X 4/9/20,0.20715401513371035
Angola X 4/10/20,0.19166231495546526
Angola X 4/11/20,0.17245724700842402
Angola X 4/12/20,0.1505231466398982
Angola X 4/13/20,0.12656677505219704
Angola X 4/14/20,0.1010824056538695
Angola X 4/15/20,0.0744306934029737
Angola X 4/16/20,0.04685475496444269
Angola X 4/17/20,0.0185353006781952
Angola X 4/18/20,0.0
Angola X 4/19/20,0.0
Angola X 4/20/20,0.0
Angola X 4/21/20,0.0
Angola X 4/22/20,0.0
Angola X 4/23/20,0.0
Angola X 4/24/20,0.0
Angola X 4/25/20,0.0
Angola X 4/26/20,0.0
Angola X 4/27/20,0.0
Angola X 4/28/20,0.0
Angola X 4/29/20,0.0
Angola X 4/30/20,0.0
Angola X 5/1/20,0.0
Angola X 5/2/20,0.0
Angola X 5/3/20,0.0
Angola X 5/4/20,0.0
Angola X 5/5/20,0.0
Angola X 5/6/20,0.0
Angola X 5/7/20,0.0
Angola X 5/8/20,0.0
Angola X 5/9/20,0.0
Angola X 5/10/20,0.0
Angola X 5/11/20,0.0
Angola X 5/12/20,0.0
Angola X 5/13/20,0.0
Angola X 5/14/20,0.0
Angola X 5/15/20,0.0
Angola X 5/16/20,0.0
Angola X 5/17/20,0.0
Angola X 5/18/20,0.0
Angola X 5/19/20,0.0
Angola X 5/20/20,0.0
Angola X 5/21/20,0.0
Angola X 5/22/20,0.0
Angola X 5/23/20,0.0
Angola X 5/24/20,0.0
Angola X 5/25/20,0.0
Angola X 5/26/20,0.0
Angola X 5/27/20,0.0
Angola X 5/28/20,0.0
Angola X 5/29/20,0.0
Angola X 5/30/20,0.0
Angola X 5/31/20,0.0
Angola X 6/1/20,0.0
Angola X 6/2/20,0.0
Angola X 6/3/20,0.0
Angola X 6/4/20,0.0
Angola X 6/5/20,0.0
Angola X 6/6/20,0.0
Angola X 6/7/20,0.0
Antigua and Barbuda X 3/6/20,0.0
Antigua and Barbuda X 3/7/20,0.0
Antigua and Barbuda X 3/8/20,0.0
Antigua and Barbuda X 3/9/20,0.0
Antigua and Barbuda X 3/10/20,0.0
Antigua and Barbuda X 3/11/20,0.0
Antigua and Barbuda X 3/12/20,0.0
Antigua and Barbuda X 3/13/20,0.0
Antigua and Barbuda X 3/14/20,0.0
Antigua and Barbuda X 3/15/20,0.0
Antigua and Barbuda X 3/16/20,0.0
Antigua and Barbuda X 3/17/20,0.0
Antigua and Barbuda X 3/18/20,0.0
Antigua and Barbuda X 3/19/20,0.0
Antigua and Barbuda X 3/20/20,0.0
Antigua and Barbuda X 3/21/20,0.0
Antigua and Barbuda X 3/22/20,0.0
Antigua and Barbuda X 3/23/20,0.0
Antigua and Barbuda X 3/24/20,0.0
Antigua and Barbuda X 3/25/20,0.0
Antigua and Barbuda X 3/26/20,0.0
Antigua and Barbuda X 3/27/20,0.0
Antigua and Barbuda X 3/28/20,0.0
Antigua and Barbuda X 3/29/20,0.0
Antigua and Barbuda X 3/30/20,0.0
Antigua and Barbuda X 3/31/20,0.0
Antigua and Barbuda X 4/1/20,0.0
Antigua and Barbuda X 4/2/20,0.0
Antigua and Barbuda X 4/3/20,0.0
Antigua and Barbuda X 4/4/20,0.0
Antigua and Barbuda X 4/5/20,0.0
Antigua and Barbuda X 4/6/20,0.0
Antigua and Barbuda X 4/7/20,0.0
Antigua and Barbuda X 4/8/20,0.0
Antigua and Barbuda X 4/9/20,0.0
Antigua and Barbuda X 4/10/20,0.0
Antigua and Barbuda X 4/11/20,0.0
Antigua and Barbuda X 4/12/20,0.0
Antigua and Barbuda X 4/13/20,0.0
Antigua and Barbuda X 4/14/20,0.0
Antigua and Barbuda X 4/15/20,0.0
Antigua and Barbuda X 4/16/20,0.0
Antigua and Barbuda X 4/17/20,0.0
Antigua and Barbuda X 4/18/20,0.0
Antigua and Barbuda X 4/19/20,0.0
Antigua and Barbuda X 4/20/20,0.0
Antigua and Barbuda X 4/21/20,0.0
Antigua and Barbuda X 4/22/20,0.0
Antigua and Barbuda X 4/23/20,0.0
Antigua and Barbuda X 4/24/20,0.0
Antigua and Barbuda X 4/25/20,0.0
Antigua and Barbuda X 4/26/20,0.0
Antigua and Barbuda X 4/27/20,0.0
Antigua and Barbuda X 4/28/20,0.0
Antigua and Barbuda X 4/29/20,0.0
Antigua and Barbuda X 4/30/20,0.0
Antigua and Barbuda X 5/1/20,0.0
Antigua and Barbuda X 5/2/20,0.0
Antigua and Barbuda X 5/3/20,0.0
Antigua and Barbuda X 5/4/20,0.0
Antigua and Barbuda X 5/5/20,0.0
Antigua and Barbuda X 5/6/20,0.0
Antigua and Barbuda X 5/7/20,0.0
Antigua and Barbuda X 5/8/20,0.0
Antigua and Barbuda X 5/9/20,0.0
Antigua and Barbuda X 5/10/20,0.0
Antigua and Barbuda X 5/11/20,0.0
Antigua and Barbuda X 5/12/20,0.0
Antigua and Barbuda X 5/13/20,0.0
Antigua and Barbuda X 5/14/20,0.0
Antigua and Barbuda X 5/15/20,0.0
Antigua and Barbuda X 5/16/20,0.0
Antigua and Barbuda X 5/17/20,0.0
Antigua and Barbuda X 5/18/20,0.0
Antigua and Barbuda X 5/19/20,0.0
Antigua and Barbuda X 5/20/20,0.0
Antigua and Barbuda X 5/21/20,0.0
Antigua and Barbuda X 5/22/20,0.0
Antigua and Barbuda X 5/23/20,0.0
Antigua and Barbuda X 5/24/20,0.0
Antigua and Barbuda X 5/25/20,0.0
Antigua and Barbuda X 5/26/20,0.0
Antigua and Barbuda X 5/27/20,0.0
Antigua and Barbuda X 5/28/20,0.0
Antigua and Barbuda X 5/29/20,0.0
Antigua and Barbuda X 5/30/20,0.0
Antigua and Barbuda X 5/31/20,0.0
Antigua and Barbuda X 6/1/20,0.0
Antigua and Barbuda X 6/2/20,0.0
Antigua and Barbuda X 6/3/20,0.0
Antigua and Barbuda X 6/4/20,0.0
Antigua and Barbuda X 6/5/20,0.0
Antigua and Barbuda X 6/6/20,0.0
Antigua and Barbuda X 6/7/20,0.0
Argentina X 3/6/20,0.0
Argentina X 3/7/20,0.0
Argentina X 3/8/20,1.0
Argentina X 3/9/20,1.0
Argentina X 3/10/20,1.0
Argentina X 3/11/20,1.0
Argentina X 3/12/20,1.0
Argentina X 3/13/20,2.0
Argentina X 3/14/20,2.0
Argentina X 3/15/20,2.0
Argentina X 3/16/20,2.0
Argentina X 3/17/20,2.0
Argentina X 3/18/20,2.0
Argentina X 3/19/20,3.0
Argentina X 3/20/20,3.0
Argentina X 3/21/20,4.0
Argentina X 3/22/20,4.0
Argentina X 3/23/20,4.0
Argentina X 3/24/20,6.0
Argentina X 3/25/20,8.0
Argentina X 3/26/20,9.0
Argentina X 3/27/20,13.0
Argentina X 3/28/20,18.0
Argentina X 3/29/20,19.0
Argentina X 3/30/20,23.0
Argentina X 3/31/20,26.999999999999996
Argentina X 4/1/20,28.000000000000004
Argentina X 4/2/20,9.151912832167
Argentina X 4/3/20,10.346487814094871
Argentina X 4/4/20,11.255808461573906
Argentina X 4/5/20,11.949246104923077
Argentina X 4/6/20,12.482187697605696
Argentina X 4/7/20,12.897529739420861
Argentina X 4/8/20,13.227745725307614
Argentina X 4/9/20,13.476427656132728
Argentina X 4/10/20,13.683872406254523
Argentina X 4/11/20,13.841857655206695
Argentina X 4/12/20,13.98181015625596
Argentina X 4/13/20,14.109549394925125
Argentina X 4/14/20,14.188022094313055
Argentina X 4/15/20,14.22402020660229
Argentina X 4/16/20,14.24290290568024
Argentina X 4/17/20,14.184253211715259
Argentina X 4/18/20,14.034142645541579
Argentina X 4/19/20,13.881448534084484
Argentina X 4/20/20,13.661052365787327
Argentina X 4/21/20,13.376197738107294
Argentina X 4/22/20,13.09075044177007
Argentina X 4/23/20,13.208840054576285
Argentina X 4/24/20,13.27599079173524
Argentina X 4/25/20,13.30750024295412
Argentina X 4/26/20,13.314244720386341
Argentina X 4/27/20,13.303818652639166
Argentina X 4/28/20,13.281422822037712
Argentina X 4/29/20,13.250558108557016
Argentina X 4/30/20,13.2139780477155
Argentina X 5/1/20,13.173106882022694
Argentina X 5/2/20,13.12927543593105
Argentina X 5/3/20,13.082955394056626
Argentina X 5/4/20,13.034427010570653
Argentina X 5/5/20,12.98467806656845
Argentina X 5/6/20,12.93445437506307
Argentina X 5/7/20,12.883925926289521
Argentina X 5/8/20,12.834517728479113
Argentina X 5/9/20,12.787835500203073
Argentina X 5/10/20,12.743553043983411
Argentina X 5/11/20,12.702796736557502
Argentina X 5/12/20,12.666566610569134
Argentina X 5/13/20,12.63453417137498
Argentina X 5/14/20,12.598153198196087
Argentina X 5/15/20,12.559105981781613
Argentina X 5/16/20,12.518470658396836
Argentina X 5/17/20,12.476942503417376
Argentina X 5/18/20,12.434952618204989
Argentina X 5/19/20,12.392760582442861
Argentina X 5/20/20,12.350533323478885
Argentina X 5/21/20,12.308358133595902
Argentina X 5/22/20,12.266290910483804
Argentina X 5/23/20,12.224358454404864
Argentina X 5/24/20,12.182586034177803
Argentina X 5/25/20,12.140991261403542
Argentina X 5/26/20,12.099574901803862
Argentina X 5/27/20,12.058331595326308
Argentina X 5/28/20,12.017252919031307
Argentina X 5/29/20,11.976306712604128
Argentina X 5/30/20,11.935433249745984
Argentina X 5/31/20,11.894583524262998
Argentina X 6/1/20,11.85369244980393
Argentina X 6/2/20,11.812682688469067
Argentina X 6/3/20,11.771482262411155
Argentina X 6/4/20,11.730204498453531
Argentina X 6/5/20,11.688904528564308
Argentina X 6/6/20,11.647622935997788
Argentina X 6/7/20,11.606365080806427
Armenia X 3/6/20,0.0
Armenia X 3/7/20,0.0
Armenia X 3/8/20,0.0
Armenia X 3/9/20,0.0
Armenia X 3/10/20,0.0
Armenia X 3/11/20,0.0
Armenia X 3/12/20,0.0
Armenia X 3/13/20,0.0
Armenia X 3/14/20,0.0
Armenia X 3/15/20,0.0
Armenia X 3/16/20,0.0
Armenia X 3/17/20,0.0
Armenia X 3/18/20,0.0
Armenia X 3/19/20,0.0
Armenia X 3/20/20,0.0
Armenia X 3/21/20,0.0
Armenia X 3/22/20,0.0
Armenia X 3/23/20,0.0
Armenia X 3/24/20,0.0
Armenia X 3/25/20,0.0
Armenia X 3/26/20,1.0
Armenia X 3/27/20,1.0
Armenia X 3/28/20,1.0
Armenia X 3/29/20,3.0
Armenia X 3/30/20,3.0
Armenia X 3/31/20,3.0
Armenia X 4/1/20,4.0
Armenia X 4/2/20,0.4353888772857317
Armenia X 4/3/20,0.5993838936228713
Armenia X 4/4/20,0.7157353179900383
Armenia X 4/5/20,0.7958508734554925
Armenia X 4/6/20,0.8488659558497602
Armenia X 4/7/20,0.8818766046169912
Armenia X 4/8/20,0.9002615845383843
Armenia X 4/9/20,0.908026386241545
Armenia X 4/10/20,0.9081221014639596
Armenia X 4/11/20,0.9026938997703837
Armenia X 4/12/20,0.8932923677639337
Armenia X 4/13/20,0.8810289506072877
Armenia X 4/14/20,0.8666942560375901
Armenia X 4/15/20,0.8508522381453076
Armenia X 4/16/20,0.8133092821663013
Armenia X 4/17/20,0.7768686305462325
Armenia X 4/18/20,0.7411373722970893
Armenia X 4/19/20,0.6646444465695822
Armenia X 4/20/20,0.5922006576111016
Armenia X 4/21/20,0.5224679066122917
Armenia X 4/22/20,0.4338639423622226
Armenia X 4/23/20,0.42155917622949346
Armenia X 4/24/20,0.40078246433040476
Armenia X 4/25/20,0.37408672307719826
Armenia X 4/26/20,0.3432962846090959
Armenia X 4/27/20,0.309687942135497
Armenia X 4/28/20,0.2741385906665528
Armenia X 4/29/20,0.2372461153390759
Armenia X 4/30/20,0.19940605930969468
Armenia X 5/1/20,0.16088029942693538
Armenia X 5/2/20,0.12183844306491665
Armenia X 5/3/20,0.0823850112465152
Armenia X 5/4/20,0.042589684653648874
Armenia X 5/5/20,0.0024911322361731436
Armenia X 5/6/20,0.0
Armenia X 5/7/20,0.0
Armenia X 5/8/20,0.0
Armenia X 5/9/20,0.0
Armenia X 5/10/20,0.0
Armenia X 5/11/20,0.0
Armenia X 5/12/20,0.0
Armenia X 5/13/20,0.0
Armenia X 5/14/20,0.0
Armenia X 5/15/20,0.0
Armenia X 5/16/20,0.0
Armenia X 5/17/20,0.0
Armenia X 5/18/20,0.0
